MA_NGUON_GOC,MA_VACH,TEN_NGUON_GOC
PO0000,,Chưa xác định
PO0001,"000, 001, 002, 003, 004, 005, 006, 007, 008, 009, 010, 011, 012, 013, 014, 015, 016, 017, 018, 019",Mỹ (United States) USA
PO0002,"030, 031, 032, 033, 034, 035, 036, 037, 038, 039",GS1 Mỹ (United States)
PO0003,"300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379",Pháp (France)
PO0004,"400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 436, 437, 438, 439, 440",Đức (Germany)
PO0005,"450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 490, 491, 492, 493, 494, 495, 496, 497, 498, 499",Nhật Bản
PO0006,"690, 691, 692, 693, 694, 695",Trung Quốc
PO0007,"760, 761, 762, 763, 764, 765, 766, 767, 768, 769",Thụy Sĩ
PO0008,880,Hàn Quốc
PO0009,885,Thái Lan
PO0010,893,Việt Nam
PO0011,380,Bulgaria
PO0012,383,Slovenia
PO0013,385,Croatia
PO0014,387,BIH (Bosnia-Herzegovina)
PO0015,389,Montenegro
PO0016,390,Kosovo
PO0017,"460, 461, 462, 463, 464, 465, 466, 467, 468, 469",Liên bang Nga (Russia)
PO0018,470,Kyrgyzstan
PO0019,471,Đài Loan (Taiwan)
PO0020,474,Estonia
PO0021,475,Latvia
PO0022,476,Azerbaijan
PO0023,477,Lithuania
PO0024,478,Uzbekistan
PO0025,479,Sri Lanka
PO0026,480,Philippines
PO0027,481,Belarus
PO0028,482,Ukraine
PO0029,483,Turkmenistan
PO0030,484,Moldova
PO0031,485,Armenia
PO0032,486,Georgia
PO0033,487,Kazakhstan
PO0034,488,Tajikistan
PO0035,489,Hong Kong
PO0036,"500, 501, 502, 503, 504, 505, 506, 507, 508, 509",Anh Quốc – Vương Quốc Anh (UK)
PO0037,"960, 961, 962, 963, 964, 965, 966, 967, 968, 969",UK Office: GTIN-8 allocations
PO0038,520,Hy Lạp (Greece)
PO0039,528,Li băng (Lebanon)
PO0040,529,Đảo Síp (Cyprus)
PO0041,560,Bồ Đào Nha (Portugal)
PO0042,590,Ba Lan
PO0043,594,Romania
PO0044,599,Hungary
PO0045,600,Nam Phi (South Africa)
PO0046,601,Nam Phi (South Africa)
PO0047,603,Ghana
PO0048,609,Mauritius
PO0049,611,Ma Rốc
PO0050,613,Algeria
PO0051,616,Kenya
PO0052,618,Bờ Biển Ngà
PO0053,619,Tunisia
PO0054,621,Syria
PO0055,622,Ai Cập
PO0056,"700, 701, 702, 703, 704, 705, 706, 707, 708, 709",Na Uy
PO0057,"750, 754, 755",Mexico
PO0058,"770, 771",Colombia
PO0059,779,Argentina
PO0060,780,Chi lê (Chile)
PO0061,"789, 790",Brazil
PO0062,850,Cu Ba
PO0063,858,Slovakia
PO0064,859,Cộng hòa Séc (Czech)
PO0065,860,Nam Tư
PO0066,865,Mông Cổ (Mongolia)
PO0067,867,Bắc Triều Tiên (North Korea)
PO0068,"868, 869",Thổ Nhĩ Kỳ (Turkey)
PO0069,"870, 871, 872, 873, 874, 875, 876, 877, 878, 879",Hà Lan (Netherlands)
PO0070,884,Campuchia (Cambodia)
PO0071,888,Singapore
PO0072,890,Ấn Độ
PO0073,899,Indonesia
PO0074,"900, 901, 902, 903, 904, 905, 906, 907, 908, 909, 910, 911, 912, 913, 914, 915, 916, 917, 918, 919",Áo (Austria)
PO0075,"930, 931, 932, 933, 934, 935, 936, 937, 938, 939",Úc (Australia)
PO0076,"940, 941, 942, 943, 944, 945, 946, 947, 948, 949",New Zealand
PO0077,955,Malaysia
PO0078,958,Macau
